chapter,order,path_old,filename_old,slug,path_new,title,h1,group,source_id,n_figures,figures,issues,notes
05-classical-ml,5,05-classical-ml/149. Decision Tree Best Split.md,149. Decision Tree Best Split.md,decision-tree-best-split,05-classical-ml/decision-tree-best-split.qmd,Chia tốt nhất Decision Tree,Chia tốt nhất Decision Tree,classical-ml,149,1,149-best-split-gini.svg,spaces,
05-classical-ml,6,05-classical-ml/146. Random Forest Majority Vote.md,146. Random Forest Majority Vote.md,random-forest-majority-vote,05-classical-ml/random-forest-majority-vote.qmd,Bình chọn đa số Random Forest,Bình chọn đa số Random Forest,classical-ml,146,1,146-rf-majority.svg,spaces,
05-classical-ml,7,05-classical-ml/144. K-Means Assignment Step.md,144. K-Means Assignment Step.md,k-means-assignment-step,05-classical-ml/k-means-assignment-step.qmd,Bước gán cụm K-Means,Bước gán cụm K-Means,classical-ml,144,1,144-kmeans-assign.svg,spaces,
05-classical-ml,8,05-classical-ml/145. K-Means Centroid Update.md,145. K-Means Centroid Update.md,k-means-centroid-update,05-classical-ml/k-means-centroid-update.qmd,Bước cập nhật centroid K-Means,Bước cập nhật centroid K-Means,classical-ml,145,1,145-kmeans-centroid.svg,spaces,
05-classical-ml,9,05-classical-ml/148. PCA Projection.md,148. PCA Projection.md,pca-projection,05-classical-ml/pca-projection.qmd,Chiếu PCA,Chiếu PCA,classical-ml,148,1,148-pca-pc1.svg,spaces,
05-classical-ml,10,05-classical-ml/150. Gaussian Naive Bayes.md,150. Gaussian Naive Bayes.md,gaussian-naive-bayes,05-classical-ml/gaussian-naive-bayes.qmd,Gaussian Naive Bayes,Gaussian Naive Bayes,classical-ml,150,1,150-gnb-classes.svg,spaces,
01-probability,6,05-classical-ml/13. Expected Value (Discrete Distribution).md,13. Expected Value (Discrete Distribution).md,expected-value-discrete,01-probability/expected-value-discrete.qmd,Kỳ vọng (phân phối rời rạc),Kỳ vọng (phân phối rời rạc),probability,13,1,13-fair-die-expectation.svg,spaces,MOVED pha6 from classical-ml; aliases old URL
06-metrics,1,"06-metrics/29. Compute Accuracy, Precision, Recall, F1.md","29. Compute Accuracy, Precision, Recall, F1.md",accuracy-precision-recall-f1,06-metrics/accuracy-precision-recall-f1.qmd,"Accuracy, Precision, Recall, F1","Accuracy, Precision, Recall, F1",metrics,29,1,29-confusion-f1.svg,spaces,
06-metrics,2,06-metrics/15-Implement Micro-F1.md,15-Implement Micro-F1.md,micro-f1,06-metrics/micro-f1.qmd,Micro-F1,Micro-F1,metrics,15,1,15-micro-f1.svg,spaces,
06-metrics,3,06-metrics/16-Implement Cross-Entropy Loss.md,16-Implement Cross-Entropy Loss.md,cross-entropy-loss,06-metrics/cross-entropy-loss.qmd,Cross-Entropy Loss,Cross-Entropy Loss,metrics,16,1,16-ce-nll.svg,spaces,
06-metrics,4,06-metrics/114. Log Loss (Per-Sample).md,114. Log Loss (Per-Sample).md,log-loss-per-sample,06-metrics/log-loss-per-sample.qmd,Log Loss (từng mẫu),Log Loss (từng mẫu),metrics,114,1,114-logloss-curve.svg,spaces,
06-metrics,5,06-metrics/88. Mean Squared Error (MSE).md,88. Mean Squared Error (MSE).md,mean-squared-error-mse,06-metrics/mean-squared-error-mse.qmd,Mean Squared Error (MSE),Mean Squared Error (MSE),metrics,88,1,88-mse-residuals.svg,spaces,
06-metrics,6,06-metrics/30. Implement R² Score (Coefficient of Determinati...md,30. Implement R² Score (Coefficient of Determinati...md,r2-score,06-metrics/r2-score.qmd,R² Score (hệ số xác định),R² Score (hệ số xác định),metrics,30,1,30-r2-fit.svg,truncated;unbalanced-paren;special-char;spaces,MUST_FIX filename
06-metrics,7,06-metrics/73. Compute ROC Curve from Scores.md,73. Compute ROC Curve from Scores.md,roc-curve-from-scores,06-metrics/roc-curve-from-scores.qmd,Đường ROC từ score,Đường ROC từ score,metrics,73,1,73-roc-curve.svg,spaces,
06-metrics,8,06-metrics/74. Compute AUC (Area Under ROC).md,74. Compute AUC (Area Under ROC).md,auc-area-under-roc,06-metrics/auc-area-under-roc.qmd,AUC (diện tích dưới ROC),AUC (diện tích dưới ROC),metrics,74,1,74-auc-pairs.svg,spaces,
