chapter,order,path_old,filename_old,slug,path_new,title,h1,group,source_id,n_figures,figures,issues,notes
10-computer-vision,9,10-computer-vision/120. 2D Convolution (Image Filtering).md,120. 2D Convolution (Image Filtering).md,2d-convolution-image-filtering,10-computer-vision/2d-convolution-image-filtering.qmd,2D Convolution (lọc ảnh),2D Convolution (lọc ảnh),computer-vision,120,1,120-conv-filter.svg,spaces,
10-computer-vision,10,10-computer-vision/10. Anchor Box Generation.md,10. Anchor Box Generation.md,anchor-box-generation,10-computer-vision/anchor-box-generation.qmd,Anchor Box Generation,Anchor Box Generation,computer-vision,10,1,10-anchors.svg,spaces,
10-computer-vision,11,10-computer-vision/118. Intersection over Union (IoU).md,118. Intersection over Union (IoU).md,intersection-over-union-iou,10-computer-vision/intersection-over-union-iou.qmd,Intersection over Union (IoU),Intersection over Union (IoU),computer-vision,118,1,118-iou-boxes.svg,spaces,
10-computer-vision,12,10-computer-vision/119. Non-Maximum Suppression.md,119. Non-Maximum Suppression.md,non-maximum-suppression,10-computer-vision/non-maximum-suppression.qmd,Non-Maximum Suppression,Non-Maximum Suppression,computer-vision,119,1,119-nms.svg,spaces,
10-computer-vision,13,10-computer-vision/122. ROI Pooling.md,122. ROI Pooling.md,roi-pooling,10-computer-vision/roi-pooling.qmd,ROI Pooling,ROI Pooling,computer-vision,122,1,122-roi-pool.svg,spaces,
11-nlp,1,11-nlp/102. Word Count Dictionary.md,102. Word Count Dictionary.md,word-count-dictionary,11-nlp/word-count-dictionary.qmd,Word Count Dictionary,Word Count Dictionary,nlp,102,1,102-word-counts.svg,spaces,
11-nlp,2,11-nlp/100. Remove Stopwords.md,100. Remove Stopwords.md,remove-stopwords,11-nlp/remove-stopwords.qmd,Remove Stopwords,Remove Stopwords,nlp,100,1,100-stopwords.svg,spaces,
11-nlp,3,11-nlp/101. Bag-of-Words Vector.md,101. Bag-of-Words Vector.md,bag-of-words-vector,11-nlp/bag-of-words-vector.qmd,Bag-of-Words Vector,Bag-of-Words Vector,nlp,101,1,101-bow-vector.svg,spaces,
11-nlp,4,11-nlp/38. Implement TF-IDF Vectorizer.md,38. Implement TF-IDF Vectorizer.md,tf-idf-vectorizer,11-nlp/tf-idf-vectorizer.qmd,TF-IDF Vectorizer,TF-IDF Vectorizer,nlp,38,1,38-tfidf.svg,spaces,
11-nlp,5,11-nlp/99. Bigram Probabilities (Add-1 Smoothing).md,99. Bigram Probabilities (Add-1 Smoothing).md,bigram-probabilities-add-1-smoothing,11-nlp/bigram-probabilities-add-1-smoothing.qmd,Bigram Probabilities (Add-1 Smoothing),Bigram Probabilities (Add-1 Smoothing),nlp,99,1,99-bigram-probs.svg,spaces,
11-nlp,6,11-nlp/39. Implement BM25 Ranking Score.md,39. Implement BM25 Ranking Score.md,bm25-ranking-score,11-nlp/bm25-ranking-score.qmd,BM25 Ranking Score,BM25 Ranking Score,nlp,39,1,39-bm25-rank.svg,spaces,
11-nlp,7,11-nlp/155. Edit Distance.md,155. Edit Distance.md,edit-distance,11-nlp/edit-distance.qmd,Edit Distance,Edit Distance,nlp,155,1,155-edit-distance.svg,spaces,
11-nlp,8,11-nlp/156. Text Chunking.md,156. Text Chunking.md,text-chunking,11-nlp/text-chunking.qmd,Text Chunking,Text Chunking,nlp,156,1,156-chunk-overlap.svg,spaces,
11-nlp,9,11-nlp/158. Perplexity Computation.md,158. Perplexity Computation.md,perplexity-computation,11-nlp/perplexity-computation.qmd,Perplexity,Perplexity,nlp,158,1,158-perplexity.svg,spaces,
11-nlp,10,11-nlp/157 BLUE Score.md,157 BLUE Score.md,bleu-score,11-nlp/bleu-score.qmd,BLEU Score,BLEU Score,nlp,157,1,157-bleu.svg,missing-dot-after-id;spaces,MUST_FIX filename
12-reinforcement-learning,1,12-reinforcement-learning/137. Discounted Returns.md,137. Discounted Returns.md,discounted-returns,12-reinforcement-learning/discounted-returns.qmd,Discounted Returns,Discounted Returns,reinforcement-learning,137,1,137-discounted-returns.svg,spaces,
12-reinforcement-learning,2,12-reinforcement-learning/12. Value Iteration Step.md,12. Value Iteration Step.md,value-iteration-step,12-reinforcement-learning/value-iteration-step.qmd,Value Iteration Step,Value Iteration Step,reinforcement-learning,12,1,12-value-iteration.svg,spaces,
12-reinforcement-learning,3,12-reinforcement-learning/93. Monte Carlo Policy Evaluation.md,93. Monte Carlo Policy Evaluation.md,monte-carlo-policy-evaluation,12-reinforcement-learning/monte-carlo-policy-evaluation.qmd,Monte Carlo Policy Evaluation,Monte Carlo Policy Evaluation,reinforcement-learning,93,1,93-mc-returns.svg,spaces,
12-reinforcement-learning,4,12-reinforcement-learning/90. One-Step TD Value Update.md,90. One-Step TD Value Update.md,one-step-td-value-update,12-reinforcement-learning/one-step-td-value-update.qmd,One-Step TD Value Update,One-Step TD Value Update,reinforcement-learning,90,1,90-td-update.svg,spaces,
12-reinforcement-learning,5,12-reinforcement-learning/92. ε-Greedy Action Selection.md,92. ε-Greedy Action Selection.md,epsilon-greedy,12-reinforcement-learning/epsilon-greedy.qmd,ε-Greedy Action Selection,ε-Greedy Action Selection,reinforcement-learning,92,1,92-epsilon-greedy.svg,special-char;spaces,
12-reinforcement-learning,6,12-reinforcement-learning/91. Tabular Q-Learning (Single Update).md,91. Tabular Q-Learning (Single Update).md,tabular-q-learning-single-update,12-reinforcement-learning/tabular-q-learning-single-update.qmd,Tabular Q-Learning (Single Update),Tabular Q-Learning (Single Update),reinforcement-learning,91,1,91-q-learning.svg,spaces,
12-reinforcement-learning,7,12-reinforcement-learning/138. SARSA Update.md,138. SARSA Update.md,sarsa-update,12-reinforcement-learning/sarsa-update.qmd,SARSA Update,SARSA Update,reinforcement-learning,138,1,138-sarsa.svg,spaces,
12-reinforcement-learning,8,12-reinforcement-learning/94. Advantage Computation.md,94. Advantage Computation.md,advantage-computation,12-reinforcement-learning/advantage-computation.qmd,Advantage Computation,Advantage Computation,reinforcement-learning,94,1,94-advantage.svg,spaces,
12-reinforcement-learning,9,12-reinforcement-learning/141. Generalized Advantage Estimation.md,141. Generalized Advantage Estimation.md,generalized-advantage-estimation,12-reinforcement-learning/generalized-advantage-estimation.qmd,Generalized Advantage Estimation,Generalized Advantage Estimation,reinforcement-learning,141,1,141-gae.svg,spaces,
12-reinforcement-learning,10,12-reinforcement-learning/140. Policy Gradient Loss.md,140. Policy Gradient Loss.md,policy-gradient-loss,12-reinforcement-learning/policy-gradient-loss.qmd,Policy Gradient Loss,Policy Gradient Loss,reinforcement-learning,140,1,140-policy-gradient.svg,spaces,
12-reinforcement-learning,11,12-reinforcement-learning/139. Replay Buffer Sample.md,139. Replay Buffer Sample.md,replay-buffer-sample,12-reinforcement-learning/replay-buffer-sample.qmd,Replay Buffer Sample,Replay Buffer Sample,reinforcement-learning,139,1,139-replay-sample.svg,spaces,
12-reinforcement-learning,12,12-reinforcement-learning/142. Prioritized Experience Replay.md,142. Prioritized Experience Replay.md,prioritized-experience-replay,12-reinforcement-learning/prioritized-experience-replay.qmd,Prioritized Experience Replay,Prioritized Experience Replay,reinforcement-learning,142,1,142-per-priority.svg,spaces,
13-time-series,1,13-time-series/175. Lag Features.md,175. Lag Features.md,lag-features,13-time-series/lag-features.qmd,Lag Features,Lag Features,time-series,175,1,175-lag-features.svg,spaces,
13-time-series,2,13-time-series/174. Differencing.md,174. Differencing.md,differencing,13-time-series/differencing.qmd,Differencing,Differencing,time-series,174,1,174-differencing.svg,spaces,
13-time-series,3,13-time-series/162. Simple Moving Average.md,162. Simple Moving Average.md,simple-moving-average,13-time-series/simple-moving-average.qmd,Simple Moving Average,Simple Moving Average,time-series,162,1,162-sma.svg,spaces,
13-time-series,4,13-time-series/176. Weighted Moving Average.md,176. Weighted Moving Average.md,weighted-moving-average,13-time-series/weighted-moving-average.qmd,Weighted Moving Average,Weighted Moving Average,time-series,176,1,176-wma.svg,spaces,
13-time-series,5,13-time-series/163. Exponential Moving Average.md,163. Exponential Moving Average.md,exponential-moving-average,13-time-series/exponential-moving-average.qmd,Exponential Moving Average,Exponential Moving Average,time-series,163,1,163-ema.svg,spaces,
13-time-series,6,13-time-series/177. Rolling Standard Deviation.md,177. Rolling Standard Deviation.md,rolling-standard-deviation,13-time-series/rolling-standard-deviation.qmd,Rolling Standard Deviation,Rolling Standard Deviation,time-series,177,1,177-rolling-std.svg,spaces,
13-time-series,7,13-time-series/188. Moving Median.md,188. Moving Median.md,moving-median,13-time-series/moving-median.qmd,Moving Median,Moving Median,time-series,188,1,188-moving-median.svg,spaces,
13-time-series,8,13-time-series/187. Percent Change.md,187. Percent Change.md,percent-change,13-time-series/percent-change.qmd,Percent Change,Percent Change,time-series,187,1,187-percent-change.svg,spaces,
13-time-series,9,13-time-series/190. Cumulative Returns.md,190. Cumulative Returns.md,cumulative-returns,13-time-series/cumulative-returns.qmd,Cumulative Returns,Cumulative Returns,time-series,190,1,190-cumulative-returns.svg,spaces,
13-time-series,10,13-time-series/191. Seasonal Average.md,191. Seasonal Average.md,seasonal-average,13-time-series/seasonal-average.qmd,Seasonal Average,Seasonal Average,time-series,191,1,191-seasonal-avg.svg,spaces,SVG orphan liên quan: figures/191-seasonal-average.svg (kiểm tra ref pha 2)
13-time-series,11,13-time-series/189. Double Exponential Smoothing.md,189. Double Exponential Smoothing.md,double-exponential-smoothing,13-time-series/double-exponential-smoothing.qmd,Double Exponential Smoothing,Double Exponential Smoothing,time-series,189,1,189-holt.svg,spaces,SVG orphan liên quan: figures/189-holt-des.svg (kiểm tra ref pha 2)
13-time-series,12,13-time-series/164. Autocorrelation.md,164. Autocorrelation.md,autocorrelation,13-time-series/autocorrelation.qmd,Autocorrelation,Autocorrelation,time-series,164,1,164-acf.svg,spaces,
13-time-series,13,13-time-series/165. Linear Interpolation.md,165. Linear Interpolation.md,linear-interpolation,13-time-series/linear-interpolation.qmd,Linear Interpolation,Linear Interpolation,time-series,165,1,165-interpolation.svg,spaces,
14-recommender,1,14-recommender/195. Mean Rating Imputation.md,195. Mean Rating Imputation.md,mean-rating-imputation,14-recommender/mean-rating-imputation.qmd,Mean Rating Imputation,Mean Rating Imputation,recommender,195,1,195-imputation.svg,spaces,
14-recommender,2,14-recommender/166. Rating Normalization.md,166. Rating Normalization.md,rating-normalization,14-recommender/rating-normalization.qmd,Rating Normalization,Rating Normalization,recommender,166,1,166-rating-norm.svg,spaces,
14-recommender,3,14-recommender/180. Popularity Ranking.md,180. Popularity Ranking.md,popularity-ranking,14-recommender/popularity-ranking.qmd,Popularity Ranking,Popularity Ranking,recommender,180,1,180-popularity.svg,spaces,
14-recommender,4,14-recommender/181. Baseline Predictor.md,181. Baseline Predictor.md,baseline-predictor,14-recommender/baseline-predictor.qmd,Baseline Predictor,Baseline Predictor,recommender,181,1,181-baseline.svg,spaces,
14-recommender,5,14-recommender/178. Jaccard Similarity.md,178. Jaccard Similarity.md,jaccard-similarity,14-recommender/jaccard-similarity.qmd,Jaccard Similarity,Jaccard Similarity,recommender,178,1,178-jaccard.svg,spaces,
14-recommender,6,14-recommender/193. Adjusted Cosine Similarity.md,193. Adjusted Cosine Similarity.md,adjusted-cosine-similarity,14-recommender/adjusted-cosine-similarity.qmd,Adjusted Cosine Similarity,Adjusted Cosine Similarity,recommender,193,1,193-adj-cosine.svg,spaces,
14-recommender,7,14-recommender/168. User-Based CF Prediction.md,168. User-Based CF Prediction.md,user-based-cf-prediction,14-recommender/user-based-cf-prediction.qmd,User-Based CF Prediction,User-Based CF Prediction,recommender,168,1,168-user-cf.svg,spaces,
14-recommender,8,14-recommender/179. Item-Based CF Prediction.md,179. Item-Based CF Prediction.md,item-based-cf-prediction,14-recommender/item-based-cf-prediction.qmd,Item-Based CF Prediction,Item-Based CF Prediction,recommender,179,1,179-item-cf.svg,spaces,
14-recommender,9,14-recommender/169. Matrix Factorization SGD Step.md,169. Matrix Factorization SGD Step.md,matrix-factorization-sgd-step,14-recommender/matrix-factorization-sgd-step.qmd,Matrix Factorization SGD Step,Matrix Factorization SGD Step,recommender,169,1,169-mf-sgd.svg,spaces,
14-recommender,10,14-recommender/167. Top-K Recommendations.md,167. Top-K Recommendations.md,top-k-recommendations,14-recommender/top-k-recommendations.qmd,Top-K Recommendations,Top-K Recommendations,recommender,167,1,167-topk.svg,spaces,
14-recommender,11,14-recommender/194. Hit Rate at K.md,194. Hit Rate at K.md,hit-rate-at-k,14-recommender/hit-rate-at-k.qmd,Hit Rate at K,Hit Rate at K,recommender,194,1,194-hr-at-k.svg,spaces,
14-recommender,12,14-recommender/192. Catalog Coverage.md,192. Catalog Coverage.md,catalog-coverage,14-recommender/catalog-coverage.qmd,Catalog Coverage,Catalog Coverage,recommender,192,1,192-coverage.svg,spaces,
14-recommender,13,14-recommender/196. Novelty Score.md,196. Novelty Score.md,novelty-score,14-recommender/novelty-score.qmd,Novelty Score,Novelty Score,recommender,196,1,196-novelty.svg,spaces,
15-mlops,1,15-mlops/110. ETL Schema Validation.md,110. ETL Schema Validation.md,etl-schema-validation,15-mlops/etl-schema-validation.qmd,ETL Schema Validation,ETL Schema Validation,mlops,110,1,110-schema.svg,spaces,
15-mlops,2,15-mlops/111. ETL Deduplication.md,111. ETL Deduplication.md,etl-deduplication,15-mlops/etl-deduplication.qmd,ETL Deduplication,ETL Deduplication,mlops,111,1,111-dedup.svg,spaces,
15-mlops,3,15-mlops/112. ETL Dependency Orchestration.md,112. ETL Dependency Orchestration.md,etl-dependency-orchestration,15-mlops/etl-dependency-orchestration.qmd,ETL Dependency Orchestration,ETL Dependency Orchestration,mlops,112,1,112-etl-dag.svg,spaces,
15-mlops,4,15-mlops/105. Feature Store Lookup.md,105. Feature Store Lookup.md,feature-store-lookup,15-mlops/feature-store-lookup.qmd,Feature Store Lookup,Feature Store Lookup,mlops,105,1,105-feature-store.svg,spaces,
15-mlops,5,15-mlops/103. Detect Train-Serving Skew.md,103. Detect Train-Serving Skew.md,detect-train-serving-skew,15-mlops/detect-train-serving-skew.qmd,Detect Train-Serving Skew,Detect Train-Serving Skew,mlops,103,1,103-psi-skew.svg,spaces,
15-mlops,6,15-mlops/106. Data Drift Detection.md,106. Data Drift Detection.md,data-drift-detection,15-mlops/data-drift-detection.qmd,Data Drift Detection,Data Drift Detection,mlops,106,1,106-tvd-drift.svg,spaces,
15-mlops,7,15-mlops/107. Monitoring Metrics Selection.md,107. Monitoring Metrics Selection.md,monitoring-metrics-selection,15-mlops/monitoring-metrics-selection.qmd,Monitoring Metrics Selection,Monitoring Metrics Selection,mlops,107,1,107-metrics.svg,spaces,
15-mlops,8,15-mlops/104. Model Versioning.md,104. Model Versioning.md,model-versioning,15-mlops/model-versioning.qmd,Model Versioning,Model Versioning,mlops,104,1,104-model-version.svg,spaces,
15-mlops,9,15-mlops/109. Shadow Deployment Evaluation.md,109. Shadow Deployment Evaluation.md,shadow-deployment-evaluation,15-mlops/shadow-deployment-evaluation.qmd,Shadow Deployment Evaluation,Shadow Deployment Evaluation,mlops,109,1,109-shadow.svg,spaces,
15-mlops,10,15-mlops/108. Retraining Trigger Design.md,108. Retraining Trigger Design.md,retraining-trigger-design,15-mlops/retraining-trigger-design.qmd,Retraining Trigger Design,Retraining Trigger Design,mlops,108,1,108-retrain-trigger.svg,spaces,
